title,link,source,price,rating,reviews,delivery,extensions
Bburago Mercedes F1 W13 E #44 Lewis Hamilton 2022 (1:43),https://model-universe.com/product/bburago-143-mercedes-amg-petronas-w13-f1-lewis-hamilton-44-2022/%3Fsrsltid%3DAfmBOoqOl34KfpzHBe_QeSbVIgujFpLLiGDKGs1AErq5fzD-HAcbtqhbzmw&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwj0xrnE1NGAAxVGpZUCHdNtBHIQguUECJwK&usg=AOvVaw1RvXVdaKnAs2qohhNd_et4,Model Universe,"₹1,264.01",4.9,8,"₹1,580.28 delivery",
F1 23 | Standard Edition | PlayStation 4,https://www.amazon.in/F1-23-Standard-PlayStation-4/dp/B0C4T88Z7S%3Fsource%3Dps-sl-shoppingads-lpcontext%26ref_%3Dfplfs%26psc%3D1%26smid%3DA2GTG1HPYW8M2P&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwj0xrnE1NGAAxVGpZUCHdNtBHIQguUECKkK&usg=AOvVaw38QeLRQPvK5zCtRkuJnQ_Z,Amazon.in,"₹4,245.00",,,Free delivery,
F1 Heroes by Giorgio Terruzzi & Ercole Colombo,https://luxury.tatacliq.com/f1-heroes-by-giorgio-terruzzi-ercole-colombo/p-mp000000016053809%3Fsrsltid%3DAfmBOooDtWdoxCPehnsBVqWCRNCMQ__d8TdKUSVRPazRvV3ZK1mQvxooq-w&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwj0xrnE1NGAAxVGpZUCHdNtBHIQgOUECLUK&usg=AOvVaw2aVFuoiFvMP36HsRBTkkDh,TATA CLiQ LUXURY,"₹3,312.00",,,Free delivery,
F1 2023,https://www.mcubegames.in/product/f1-23-ps5%3Fsrsltid%3DAfmBOorfMkbLsGBFDewJ7wOh0xLQ00J92eBoSuUncyolq7wgLYg_UiWJ0fE&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwj0xrnE1NGAAxVGpZUCHdNtBHIQguUECMIK&usg=AOvVaw0jkR-0pO9zWMM-LhBgAzYo,Mcube Games,"₹4,499.00",4.3,14,Free delivery,
Formula 1: The Official History: fully revised and updated,http://www.flipkart.com/formula-1-official-history/p/itm8af3e4dc89cce%3Fpid%3D9781802792225%26lid%3DLSTBOK9781802792225WVMXHB%26marketplace%3DFLIPKART%26cmpid%3Dcontent_book_8965229628_gmc&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwj0xrnE1NGAAxVGpZUCHdNtBHIQguUECNAK&usg=AOvVaw0DLMNJKfqpR1dtQOqH3JGw,Flipkart,"₹2,199.00",4.8,6,Free delivery,
FANATEC CSL DD F1 ESPORTS PREMIUM BUNDLE,https://virtualracinghub.com/products/fanatec-csl-dd-f1-esports-premium-bundle%3Fvariant%3D43395112042738%26currency%3DINR%26utm_medium%3Dproduct_sync%26utm_source%3Dgoogle%26utm_content%3Dsag_organic%26utm_campaign%3Dsag_organic%26srsltid%3DAfmBOopZEF9t8SZ8qK6HA6u-lJZQzkLbqpcB7_IH4UaRo4uGYui6TeWEBIg&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwj0xrnE1NGAAxVGpZUCHdNtBHIQgOUECN0K&usg=AOvVaw12HM54HNiM0Z8rxCZ0zJlA,virtualracinghub-13ba,"₹2,00,000.00",,,"₹1,500.00 delivery",
F1 A History Of Formula One Racing,https://www.meripustak.com/F1-A-History-Of-Formula-One-Racing-350058%3Fsrsltid%3DAfmBOootOtDk_h4DS2lwW3Tp424vSkwQEYt1bEjKm6qBURCdinXPsR8a4es&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwj0xrnE1NGAAxVGpZUCHdNtBHIQguUECOoK&usg=AOvVaw2VgERVeBgqjShCoqAN3cwJ,MeriPustak.com,₹896.00,5.0,1,Free delivery,
F1 2022/23 Collection - Mini Series Matte White / Etched onto each piece,https://worldracecircuits.com/products/f1-2022-collection-acrylic%3Fvariant%3D39761450893446%26currency%3DGBP%26utm_medium%3Dproduct_sync%26utm_source%3Dgoogle%26utm_content%3Dsag_organic%26utm_campaign%3Dsag_organic%26srsltid%3DAfmBOoq134g4PUjknfZOUiTQ0W4OiS11eRKpkX4egtccsAx5H94gXrX5R4Q&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwj0xrnE1NGAAxVGpZUCHdNtBHIQgOUECPcK&usg=AOvVaw0drHpguPP5TxLGfeExDLP2,World Race Circuits,"₹4,743.98",,,+Delivery,
2022 Ferrari F1-75 POSTER A1 ( 20 X 30 inches ) / GLOSSY POSTER,https://www.frameo.store/products/ferrari-f1-76%3Fvariant%3D43028488388800%26currency%3DINR%26utm_medium%3Dproduct_sync%26utm_source%3Dgoogle%26utm_content%3Dsag_organic%26utm_campaign%3Dsag_organic%26srsltid%3DAfmBOopfPmocxMU7zDn5Ti2gawgPP6dR_fNM6HlSeLLqnO_GrLpgruKuaIs&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwj0xrnE1NGAAxVGpZUCHdNtBHIQgOUECIQL&usg=AOvVaw1bo0yzaB32pht_kMbR5GXU,Frameo store,₹799.00,,,Free delivery by 22 Aug and free 10-day returns,
Der F1,https://enquirebio.com/proteins/qp11656-other-der-f1&rct=j&q=&esrc=s&sa=U&ved=0ahUKEwj0xrnE1NGAAxVGpZUCHdNtBHIQgOUECJAL&usg=AOvVaw3-yyjgHUPTRnE2jNL0Ff6G,enQuire Bio,"₹12,424.35 + tax",,,"₹7,040.47 delivery",
